topic_id,token_id,token,document_frequency,weight
0,0,prior_alpha_ratio__level_high,50,0.013698869868
0,1,prior_alpha_ratio__level_low,50,0.000309939360517
0,2,prior_alpha_ratio__level_mid,50,0.0142719936149
0,3,prior_attention_deficit__level_high,49,0.000302633140223
0,4,prior_attention_deficit__level_low,51,0.000302280404511
0,5,prior_attention_deficit__level_mid,50,0.0499041414571
0,6,prior_coding_tool_type__value_codebook,46,0.000301913534941
0,7,prior_coding_tool_type__value_mixed,35,0.000306210743431
0,8,prior_coding_tool_type__value_mnemonic,23,0.000301676496311
0,9,prior_coding_tool_type__value_table,46,0.0428486947571
0,10,prior_condition_mean_adjusted_attention__level_high,44,0.000302279650826
0,11,prior_condition_mean_adjusted_attention__level_low,58,0.00562682279451
0,12,prior_condition_mean_adjusted_attention__level_mid,48,0.0347380986977
0,13,prior_condition_noise_adjustment__level_high,33,0.0243905300618
0,14,prior_condition_noise_adjustment__level_low,84,0.000304582515785
0,15,prior_condition_noise_adjustment__level_mid,33,0.0111489832568
0,16,prior_condition_noise_level__level_high,33,0.0243905300618
0,17,prior_condition_noise_level__level_low,84,0.000304582515785
0,18,prior_condition_noise_level__level_mid,33,0.0111489832568
0,19,prior_condition_profile__value_hard,61,0.0265125707015
0,20,prior_condition_profile__value_moderate,47,0.0131942216609
0,21,prior_condition_profile__value_normal,42,0.0003018767048
0,22,prior_condition_time_pressure__level_high,33,0.0082079744902
0,23,prior_condition_time_pressure__level_low,78,0.0251105676612
0,24,prior_condition_time_pressure__level_mid,39,0.00030663523424
0,25,prior_condition_total_adjusted_time__level_high,50,0.000306464684457
0,26,prior_condition_total_adjusted_time__level_low,50,0.000311013499161
0,27,prior_condition_total_adjusted_time__level_mid,50,0.010966452748
0,28,prior_control_expected_detection_rate__level_high,50,0.0140260918437
0,29,prior_control_expected_detection_rate__level_low,50,0.000303095563771
0,30,prior_control_expected_detection_rate__level_mid,50,0.0233155392749
0,31,prior_control_intensity__level_high,36,0.000305240747592
0,32,prior_control_intensity__level_low,76,0.000303111319997
0,33,prior_control_intensity__level_mid,38,0.0473753879446
0,34,prior_control_marker_ratio__level_high,50,0.0132839271477
0,35,prior_control_marker_ratio__level_low,50,0.0132028109722
0,36,prior_control_marker_ratio__level_mid,50,0.0130905980623
0,37,prior_digit_ratio__level_high,50,0.000307828507107
0,38,prior_digit_ratio__level_low,50,0.0190960765923
0,39,prior_digit_ratio__level_mid,50,0.010470587941
0,40,prior_expected_error_probability__level_high,50,0.000312585862586
0,41,prior_expected_error_probability__level_low,50,0.000306252277743
0,42,prior_expected_error_probability__level_mid,50,0.020732596074
0,43,prior_manual_operation_count__level_high,46,0.000309885600407
0,44,prior_manual_operation_count__level_low,59,0.0077955731604
0,45,prior_manual_operation_count__level_mid,45,0.00638995590307
0,46,prior_mean_complexity__level_high,30,0.000314039426541
0,47,prior_mean_complexity__level_low,60,0.0129124886488
0,48,prior_mean_complexity__level_mid,60,0.012208496152
0,49,prior_mean_message_criticality__level_high,30,0.0117876583559
0,50,prior_mean_message_criticality__level_low,60,0.000308007907849
